Book Id,Title,Author,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Private Notes,Read Count,Owned Copies
34,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,,"=""978054792821""","=""9780547928210""",5,4.39,Mariner,Paperback,423,2012,1954,2014/02/11,2014/01/20,classics,classics (#1),read,,,1,1
15241,"The Two Towers (The Lord of the Rings, #2)",J.R.R. Tolkien,,"=""978054792820""","=""9780547928203""",5,4.46,Mariner,Paperback,352,2012,1954,2014/03/30,2014/01/20,classics,classics (#1),read,,,1,1
18512,"The Return of the King (The Lord of the Rings, #3)",J.R.R. Tolkien,,"=""978054792819""","=""9780547928197""",5,4.55,Mariner,Paperback,416,2012,1955,2014/05/02,2014/01/20,classics,classics (#1),read,,,1,1
44767458,"Dune (Dune, #1)",Frank Herbert,,"=""978044101359""","=""9780441013593""",5,4.27,Ace,Paperback,617,2005,1965,2021/10/03,2021/09/14,sci-fi,sci-fi (#1),read,,,1,1
44439243,"Dune Messiah (Dune, #2)",Frank Herbert,,"=""978059309823""","=""9780593098233""",3,3.93,Ace,Paperback,352,2019,1969,2021/12/28,2021/10/04,sci-fi,sci-fi (#1),read,,,1,1
13496,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,,"=""978055359371""","=""9780553593716""",5,4.45,Bantam,Paperback,835,2005,1996,2016/01/18,2015/12/30,fantasy,fantasy (#1),read,,,1,1
10572,"A Clash of Kings (A Song of Ice and Fire, #2)",George R.R. Martin,,"=""978055357990""","=""9780553579901""",4,4.42,Bantam,Paperback,969,2003,1998,2016/03/02,2016/01/19,fantasy,fantasy (#1),read,,,1,1
62291,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,,"=""978055357342""","=""9780553573428""",5,4.56,Bantam,Paperback,1177,2003,2000,2016/05/21,2016/03/03,fantasy,fantasy (#1),read,,,1,1
13497,"A Feast for Crows (A Song of Ice and Fire, #4)",George R.R. Martin,,"=""978055358202""","=""9780553582024""",3,4.13,Bantam,Paperback,1061,2005,2005,2016/08/09,2016/05/22,fantasy,fantasy (#1),read,,,1,1
10664113,"A Dance with Dragons (A Song of Ice and Fire, #5)",George R.R. Martin,,"=""978055358201""","=""9780553582017""",4,4.32,Bantam,Paperback,1125,2011,2011,2016/11/30,2016/08/10,fantasy,fantasy (#1),read,,,1,1
11,"The Hitchhiker’s Guide to the Galaxy (The Hitchhiker’s Guide to the Galaxy, #1)",Douglas Adams,,"=""978034539180""","=""9780345391803""",5,4.23,Del Rey,Paperback,216,1995,1979,2023/04/02,2023/03/28,humour,humour (#1),read,,,1,1
